campaign_193  |  15 ходов  |  liftLimit = 16

Сетка: 6x5 (колонки A-F слева направо, строки 1-5 снизу вверх)

Начальные позиции:
  target     (1x2)  C1  [цель]
  box_1      (2x3)  D1
  box_2      (2x1)  D4
  box_3      (1x1)  C3
  box_4      (1x2)  C4
  box_5      (1x1)  E5
  box_6      (1x2)  F1
  box_7      (2x1)  A1
  box_8      (1x1)  F3
  box_9      (2x2)  A2

Решение:
    1. box_4      (1x2)  C4 -> A4
    2. box_5      (1x1)  E5 -> B4
    3. box_8      (1x1)  F3 -> B5
    4. box_6      (1x2)  F1 -> C4
    5. box_8      (1x1)  B5 -> F1
    6. box_5      (1x1)  B4 -> F2
    7. box_6      (1x2)  C4 -> F3
    8. box_3      (1x1)  C3 -> D5
    9. target     (1x2)  C1 -> B4
    10. box_3      (1x1)  D5 -> C1
    11. box_6      (1x2)  F3 -> C2
    12. target     (1x2)  B4 -> C4
    13. box_5      (1x1)  F2 -> B4
    14. box_8      (1x1)  F1 -> B5
    15. target     (1x2)  C4 -> F1  <-- ПОБЕДА
