campaign_97  |  6 ящиков  |  timeLimitSeconds = 70

Сетка: 6x5 (колонки A-F слева направо, строки 1-5 снизу вверх)

Рабочий: D2, лицом влево

Начальные позиции:
  box_1      (1x2)  B1
  target     (1x1)  A1  [цель]
  box_2      (2x1)  C1
  box_3      (1x2)  B3
  box_4      (1x2)  A2
  box_5      (1x2)  A4

Решение:
    1. box_3      B3 -> F1
    2. box_5      A4 -> E1
    3. box_4      A2 -> E3
    4. box_1      B1 -> D2
    5. target     A1 -> C2
    6. box_4      E3 -> B1
    7. box_1      D2 -> A1
    8. box_5      E1 -> D2
    9. box_3      F1 -> E1
    10. box_5      D2 -> B3
    11. target     C2 -> F1  <-- ПОБЕДА
