campaign_99  |  6 ящиков  |  timeLimitSeconds = 90

Сетка: 6x5 (колонки A-F слева направо, строки 1-5 снизу вверх)

Рабочий: A1, лицом вправо

Начальные позиции:
  box_1      (2x1)  C1
  target     (1x1)  D2  [цель]
  box_2      (2x1)  E1
  box_3      (1x2)  C2
  box_4      (1x2)  D3
  box_5      (1x2)  E2

Решение:
    1. box_3      C2 -> A1
    2. box_4      D3 -> B1
    3. box_5      E2 -> C2
    4. box_5      C2 -> A3
    5. target     D2 -> F2
    6. box_4      B1 -> F3
    7. box_1      C1 -> B1
    8. box_4      F3 -> D1
    9. box_4      D1 -> B2
    10. target     F2 -> C2
    11. box_2      E1 -> D1
    12. target     C2 -> F1  <-- ПОБЕДА
